,hhid,longitude,latitude,altitude,kebele
126,DT1301200,37.88377,12.98856,2590,DT13
127,DT1301199,37.88373,12.98833,2593,DT13
128,DT1301551,37.88535,12.98664,2626,DT13
129,DT1301198,37.88358,12.98827,2591,DT13
130,DT1301197,37.88361,12.98806,2593,DT13
131,DT1301196,37.8835,12.98786,2590,DT13
132,DT1301195,37.88321,12.98831,2583,DT13
133,DT1301194,37.88244,12.98675,2587,DT13
134,DT1301193,37.88255,12.98686,2590,DT13
135,DT1301192,37.89573,12.99448,2648,DT13
136,DT1301191,37.89585,12.99539,2652,DT13
137,DT1301190,37.89583,12.99535,2644,DT13
138,DT1301189,37.89564,12.9955,2645,DT13
139,DT1301188,37.8956,12.99574,2660,DT13
140,DT1301187,37.89555,12.99615,2650,DT13
141,DT1301186,37.89565,12.99605,2651,DT13
142,DT1301185,37.89579,12.996,2651,DT13
143,DT1301184,37.89604,12.9957,2645,DT13
144,DT1301183,37.89586,12.9984,2642,DT13
145,DT1101617,37.82716,13.05996,2702,DT11
146,DT1301182,37.89432,13.00023,2660,DT13
147,DT1301181,37.89451,13.00218,2662,DT13
148,DT1301180,37.89478,12.99975,2650,DT13
149,DT1301179,37.89508,12.99951,2647,DT13
150,DT1301178,37.89555,12.99848,2646,DT13
151,DT1301177,37.89587,12.99816,2649,DT13
152,DT1301176,37.8965,12.99765,2643,DT13
153,DT1301175,37.8964,12.99691,2645,DT13
154,DT1301174,37.89605,12.99674,2650,DT13
155,DT1301173,37.89614,12.99677,2649,DT13
156,DT1301475,37.89563,12.99604,2647,DT13
157,DT1301172,37.89336,12.99675,2651,DT13
158,DT1301171,37.89646,12.99633,2649,DT13
159,DT1301170,37.89656,12.9957,2651,DT13
160,DT1301169,37.89604,12.9957,2645,DT13
161,DT1101583,37.82266,13.0642,2728,DT11
162,DT1301168,37.89684,12.99566,2645,DT13
163,DT1301167,37.8969,12.99555,2643,DT13
164,DT0103292,37.76447,12.93073,2582,DT01
165,DT1301166,37.89691,12.9955,2646,DT13
166,DT1301165,37.8969,12.99554,2646,DT13
167,DT1301164,37.89682,12.99537,2643,DT13
168,DT1301163,37.89719,12.99103,2638,DT13
